ID	Review	Trending Topics length	Trending Topics
755173332589289477	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	6	[{"score":6.984526095742305,"topic":"axe shot"},{"score":6.983827643132731,"topic":"train passengers"},{"score":6.983129260368417,"topic":"germany"},{"score":6.981732704347636,"topic":"afghan"},{"score":4.977052968344496,"topic":"dengue cases"},{"score":3.1538569619205465,"topic":"police"}]
755173041202532352	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	6	[{"score":6.9824309474423805,"topic":"axe shot"},{"score":6.981732704347636,"topic":"train passengers"},{"score":6.981034531077202,"topic":"germany"},{"score":6.9796383939813325,"topic":"afghan"},{"score":4.975560001760605,"topic":"dengue cases"},{"score":3.1529108994445254,"topic":"police"}]
755172953264836608	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL	6	[{"score":6.981034531077202,"topic":"axe shot"},{"score":6.980336427624095,"topic":"train passengers"},{"score":6.9796383939813325,"topic":"germany"},{"score":6.97824253609892,"topic":"afghan"},{"score":4.974564939515853,"topic":"dengue cases"},{"score":3.1522803487937456,"topic":"police"}]
755172870431449088	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	6	[{"score":6.978940430141934,"topic":"axe shot"},{"score":6.97824253609892,"topic":"train passengers"},{"score":6.97754471184531,"topic":"germany"},{"score":6.976149272678388,"topic":"afghan"},{"score":4.973072719265972,"topic":"dengue cases"},{"score":3.1513347592543655,"topic":"police"}]
755172806187323392	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	9	[{"score":6.976846957374125,"topic":"axe shot"},{"score":6.976149272678388,"topic":"train passengers"},{"score":6.97545165775112,"topic":"germany"},{"score":6.974056637174086,"topic":"afghan"},{"score":4.993907113403825,"topic":"ballistic missiles"},{"score":4.992908381920215,"topic":"north korea"},{"score":4.971580946637402,"topic":"dengue cases"},{"score":4.290546418206757,"topic":"range"},{"score":3.15038945336348,"topic":"police"}]
755172748863733760	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	9	[{"score":6.9747541125853445,"topic":"axe shot"},{"score":6.974056637174086,"topic":"train passengers"},{"score":6.9733592315103685,"topic":"germany"},{"score":6.971964629397658,"topic":"afghan"},{"score":5.992409091082023,"topic":"ballistic missiles"},{"score":5.991210669187898,"topic":"north korea"},{"score":5.14841561493267,"topic":"range"},{"score":4.970089621495867,"topic":"dengue cases"},{"score":3.1494444310360046,"topic":"police"}]
755170637811855360	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	9	[{"score":7.971267432934718,"topic":"axe shot"},{"score":7.970470306191425,"topic":"train passengers"},{"score":7.969673259160806,"topic":"germany"},{"score":7.968079404205707,"topic":"afghan"},{"score":5.989413485717471,"topic":"ballistic missiles"},{"score":5.988215662914462,"topic":"north korea"},{"score":5.1458419219152844,"topic":"range"},{"score":4.967605073644383,"topic":"dengue cases"},{"score":3.5994191938114333,"topic":"police"}]
755170599429771265	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	9	[{"score":8.967282596265285,"topic":"axe shot"},{"score":8.96638586800566,"topic":"train passengers"},{"score":8.965489229418859,"topic":"germany"},{"score":8.963696221227867,"topic":"afghan"},{"score":5.98641937785607,"topic":"ballistic missiles"},{"score":5.985222153844692,"topic":"north korea"},{"score":5.143269515487064,"topic":"range"},{"score":4.9651217678183945,"topic":"dengue cases"},{"score":4.049169014198451,"topic":"police"}]
755170517687164932	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	9	[{"score":9.962799851605745,"topic":"axe shot"},{"score":9.961803571620583,"topic":"train passengers"},{"score":9.96080739126342,"topic":"germany"},{"score":9.958815329393243,"topic":"afghan"},{"score":5.983426766749218,"topic":"ballistic missiles"},{"score":5.9822301412301355,"topic":"north korea"},{"score":5.140698395004842,"topic":"range"},{"score":4.962639703397014,"topic":"dengue cases"},{"score":4.49869400464576,"topic":"police"}]
755168323080294400	Retweeted Channel NewsAsia (@ChannelNewsAsia):  Mexico president apologises for scandal, vows to fight graft with... https://t.co/W2pSjpGYom	9	[{"score":9.958815329393243,"topic":"axe shot"},{"score":9.957819447860304,"topic":"train passengers"},{"score":9.956823665915518,"topic":"germany"},{"score":9.954832400750572,"topic":"afghan"},{"score":5.981033755024191,"topic":"ballistic missiles"},{"score":5.979837608083524,"topic":"north korea"},{"score":5.138642424068181,"topic":"range"},{"score":4.960654945254187,"topic":"dengue cases"},{"score":4.496894796947548,"topic":"police"}]
