ID	Review	Trending Topics length	Trending Topics
755174464988418049	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	9	[{"score":13.92992784730615,"topic":"t co"},{"score":5.981549316885811,"topic":"axe"},{"score":5.979755031531243,"topic":"train passengers"},{"score":5.9791570560280904,"topic":"police https"},{"score":5.978559140322488,"topic":"germany"},{"score":5.9779612844084555,"topic":"y45kksix23 https"},{"score":5.977363488280015,"topic":"afghan"},{"score":4.96711135331175,"topic":"dengue cases"},{"score":4.965124806777238,"topic":"mm1qx1zmcf https"}]
755173491637444608	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	9	[{"score":14.919779882606388,"topic":"t co"},{"score":5.977363488280015,"topic":"axe"},{"score":5.975570458548458,"topic":"train passengers"},{"score":5.974972901502603,"topic":"police https"},{"score":5.974375404212453,"topic":"germany"},{"score":5.973777966672032,"topic":"y45kksix23 https"},{"score":5.9731805888753655,"topic":"afghan"},{"score":4.963635418283984,"topic":"dengue cases"},{"score":4.961650261914942,"topic":"mm1qx1zmcf https"}]
755173332589289477	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	9	[{"score":15.907648245403267,"topic":"t co"},{"score":6.972583270816478,"topic":"axe"},{"score":6.970491705005759,"topic":"train passengers"},{"score":6.969794655835258,"topic":"police https"},{"score":6.969097676369675,"topic":"germany"},{"score":6.968400766602038,"topic":"y45kksix23 https"},{"score":6.9677039265253775,"topic":"afghan"},{"score":4.959665899489345,"topic":"dengue cases"},{"score":4.957682330689666,"topic":"mm1qx1zmcf https"}]
755173041202532352	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	9	[{"score":16.896116291676908,"topic":"t co"},{"score":6.9677039265253775,"topic":"axe"},{"score":6.96561382437157,"topic":"train passengers"},{"score":6.964917262989133,"topic":"police https"},{"score":6.964220771262834,"topic":"germany"},{"score":6.9635243491857075,"topic":"y45kksix23 https"},{"score":6.962827996750789,"topic":"afghan"},{"score":4.956195174715972,"topic":"dengue cases"},{"score":4.954212993997971,"topic":"mm1qx1zmcf https"}]
755172953264836608	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL	9	[{"score":17.88915886885963,"topic":"t co"},{"score":6.964917262989133,"topic":"axe"},{"score":6.962827996750789,"topic":"train passengers"},{"score":6.9621317139511145,"topic":"police https"},{"score":6.96143550077972,"topic":"germany"},{"score":6.960739357229642,"topic":"y45kksix23 https"},{"score":6.960043283293919,"topic":"afghan"},{"score":4.954212993997971,"topic":"dengue cases"},{"score":4.952231606033335,"topic":"mm1qx1zmcf https"}]
755172870431449088	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	9	[{"score":18.876240273744738,"topic":"t co"},{"score":6.960043283293919,"topic":"axe"},{"score":6.957955479103269,"topic":"train passengers"},{"score":6.957259683555359,"topic":"police https"},{"score":6.9565639575870035,"topic":"germany"},{"score":6.955868301191245,"topic":"y45kksix23 https"},{"score":6.955172714361126,"topic":"afghan"},{"score":4.95074608511352,"topic":"dengue cases"},{"score":4.948766083704438,"topic":"mm1qx1zmcf https"}]
755172806187323392	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	14	[{"score":19.86263092889897,"topic":"t co"},{"score":6.955172714361126,"topic":"axe"},{"score":6.953086371195044,"topic":"train passengers"},{"score":6.952391062557925,"topic":"police https"},{"score":6.951695823451669,"topic":"germany"},{"score":6.951000653869324,"topic":"y45kksix23 https"},{"score":6.950305553803937,"topic":"afghan"},{"score":4.987827132096863,"topic":"s korea https"},{"score":4.987328349383653,"topic":"ballistic missiles"},{"score":4.986829616548715,"topic":"r3niannd3h https"},{"score":4.984835183891926,"topic":"north korea"},{"score":4.947281602337361,"topic":"dengue cases"},{"score":4.945302986513532,"topic":"mm1qx1zmcf https"},{"score":4.28360889237328,"topic":"range"}]
755172748863733760	RT @ChannelNewsAsia: North Korea fires 3 ballistic missiles with range that could strike all of S Korea https://t.co/R3NiAnnD3h https://t.c…	14	[{"score":20.848331317702115,"topic":"t co"},{"score":6.950305553803937,"topic":"axe"},{"score":6.948220670640013,"topic":"train passengers"},{"score":6.947525848572949,"topic":"police https"},{"score":6.946831095988093,"topic":"germany"},{"score":6.946136412878494,"topic":"y45kksix23 https"},{"score":6.945441799237206,"topic":"afghan"},{"score":5.984336700373537,"topic":"s korea https"},{"score":5.9837382667035,"topic":"ballistic missiles"},{"score":5.98313989287683,"topic":"r3niannd3h https"},{"score":5.98074699588414,"topic":"north korea"},{"score":5.13942388654901,"topic":"range"},{"score":4.943819543971722,"topic":"dengue cases"},{"score":4.941842312763532,"topic":"mm1qx1zmcf https"}]
755170637811855360	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	14	[{"score":21.83145849901336,"topic":"t co"},{"score":7.944747255057282,"topic":"axe"},{"score":7.9423640692152375,"topic":"train passengers"},{"score":7.941569832808316,"topic":"police https"},{"score":7.940775675825035,"topic":"germany"},{"score":7.939981598257453,"topic":"y45kksix23 https"},{"score":7.939187600097627,"topic":"afghan"},{"score":5.979550906292434,"topic":"s korea https"},{"score":5.978952951201805,"topic":"ballistic missiles"},{"score":5.978355055906685,"topic":"r3niannd3h https"},{"score":5.9759640725617125,"topic":"north korea"},{"score":5.135313786190688,"topic":"range"},{"score":4.939865872329198,"topic":"dengue cases"},{"score":4.93789022235246,"topic":"mm1qx1zmcf https"}]
755170599429771265	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	14	[{"score":22.813799453800126,"topic":"t co"},{"score":8.938393681337617,"topic":"axe"},{"score":8.935712431376087,"topic":"train passengers"},{"score":8.93481886013295,"topic":"police https"},{"score":8.933925378246936,"topic":"germany"},{"score":8.933031985709112,"topic":"y45kksix23 https"},{"score":8.93213868251054,"topic":"afghan"},{"score":5.974768939506841,"topic":"s korea https"},{"score":5.97417146261289,"topic":"ballistic missiles"},{"score":5.973574045466629,"topic":"r3niannd3h https"},{"score":5.971184974238992,"topic":"north korea"},{"score":5.131206972762055,"topic":"range"},{"score":4.935915362517182,"topic":"dengue cases"},{"score":4.933941292507354,"topic":"mm1qx1zmcf https"}]
755170517687164932	RT @ChannelNewsAsia: 17-year-old Afghan who attacked train passengers in Germany with axe shot dead by police https://t.co/y45KKSIx23 https…	14	[{"score":23.795354810823518,"topic":"t co"},{"score":9.93124546864229,"topic":"axe"},{"score":9.92826639292913,"topic":"train passengers"},{"score":9.927273566289838,"topic":"police https"},{"score":9.92628083893321,"topic":"germany"},{"score":9.925288210849317,"topic":"y45kksix23 https"},{"score":9.924295682028232,"topic":"afghan"},{"score":5.969990796955994,"topic":"s korea https"},{"score":5.9693937978762985,"topic":"ballistic missiles"},{"score":5.9687968584965105,"topic":"r3niannd3h https"},{"score":5.966409697857049,"topic":"north korea"},{"score":5.1271034436344864,"topic":"range"},{"score":4.9319680120070934,"topic":"dengue cases"},{"score":4.929995520700644,"topic":"mm1qx1zmcf https"}]
755168323080294400	Retweeted Channel NewsAsia (@ChannelNewsAsia):  Mexico president apologises for scandal, vows to fight graft with... https://t.co/W2pSjpGYom	14	[{"score":24.780881176764378,"topic":"t co"},{"score":9.925288210849317,"topic":"axe"},{"score":9.922310922134782,"topic":"train passengers"},{"score":9.921318691042568,"topic":"police https"},{"score":9.920326559173464,"topic":"germany"},{"score":9.919334526517547,"topic":"y45kksix23 https"},{"score":9.918342593064896,"topic":"afghan"},{"score":5.966409697857049,"topic":"s korea https"},{"score":5.965813056887264,"topic":"ballistic missiles"},{"score":5.965216475581575,"topic":"r3niannd3h https"},{"score":5.962830746880471,"topic":"north korea"},{"score":5.124027950531287,"topic":"range"},{"score":4.92900957089646,"topic":"dengue cases"},{"score":4.92703826278896,"topic":"mm1qx1zmcf https"}]
755168293791555584	RT @ChannelNewsAsia: Mexico president apologises for scandal, vows to fight graft with new law https://t.co/ttOnkVvZ0o	14	[{"score":25.76571639469392,"topic":"t co"},{"score":9.919334526517547,"topic":"axe"},{"score":9.91635902372971,"topic":"train passengers"},{"score":9.915367387827336,"topic":"police https"},{"score":9.914375851088554,"topic":"germany"},{"score":9.913384413503445,"topic":"y45kksix23 https"},{"score":9.912393075062095,"topic":"afghan"},{"score":5.962830746880471,"topic":"s korea https"},{"score":5.962234463805783,"topic":"ballistic missiles"},{"score":5.961638240359402,"topic":"r3niannd3h https"},{"score":5.959253942737707,"topic":"north korea"},{"score":5.12095430226269,"topic":"range"},{"score":4.926052904406785,"topic":"dengue cases"},{"score":4.924082778788494,"topic":"mm1qx1zmcf https"}]
755166334623690752	RT @ChannelNewsAsia: German police say several critically wounded in axe attack on train https://t.co/gzL1rkUx0L	14	[{"score":26.752636122810568,"topic":"t co"},{"score":9.914375851088554,"topic":"axe"},{"score":9.911401835754589,"topic":"train passengers"},{"score":9.910410695571013,"topic":"police https"},{"score":9.909419654501455,"topic":"germany"},{"score":9.908428712536006,"topic":"y45kksix23 https"},{"score":9.907437869664752,"topic":"afghan"},{"score":5.95984992773048,"topic":"s korea https"},{"score":5.959253942737707,"topic":"ballistic missiles"},{"score":5.958658017343433,"topic":"r3niannd3h https"},{"score":5.956274911632144,"topic":"north korea"},{"score":5.118394337155782,"topic":"range"},{"score":4.923590370510616,"topic":"dengue cases"},{"score":4.92162122975814,"topic":"mm1qx1zmcf https"}]
755162792810934272	@ChannelNewsAsia #LameStreamMedia again tries 2 make mountain out of a mole hill.Democracy works not Socialism.DNC will B coronation instead	14	[{"score":26.733914894641934,"topic":"t co"},{"score":9.907437869664752,"topic":"axe"},{"score":9.904465935517083,"topic":"train passengers"},{"score":9.903475488923531,"topic":"police https"},{"score":9.902485141374639,"topic":"germany"},{"score":9.901494892860502,"topic":"y45kksix23 https"},{"score":9.900504743371215,"topic":"afghan"},{"score":5.955679284140981,"topic":"s korea https"},{"score":5.955083716212567,"topic":"ballistic missiles"},{"score":5.954488207840946,"topic":"r3niannd3h https"},{"score":5.952106769803285,"topic":"north korea"},{"score":5.114812535803457,"topic":"range"},{"score":4.920144891032928,"topic":"dengue cases"},{"score":4.918177128265527,"topic":"mm1qx1zmcf https"}]
755157909474988032	RT @SimonMarksFSN: Coming up at 6am, watch me live from #RNCinCLE on @ChannelNewsAsia OR listen to @NickHarperFSN live @official938LIVE You…	14	[{"score":26.720550610318778,"topic":"t co"},{"score":9.902485141374639,"topic":"axe"},{"score":9.899514692896878,"topic":"train passengers"},{"score":9.898524741427588,"topic":"police https"},{"score":9.897534888953444,"topic":"germany"},{"score":9.89654513546455,"topic":"y45kksix23 https"},{"score":9.895555480951003,"topic":"afghan"},{"score":5.952702040007286,"topic":"s korea https"},{"score":5.952106769803285,"topic":"ballistic missiles"},{"score":5.951511559126304,"topic":"r3niannd3h https"},{"score":5.949131311569542,"topic":"north korea"},{"score":5.112255640965664,"topic":"range"},{"score":4.9176853105527005,"topic":"dengue cases"},{"score":4.9157185314699285,"topic":"mm1qx1zmcf https"}]
