Trending Topic	Trending Topic Score
singapore	289.25624228235444
cases	169.59838419440743
zika	158.67297383575962
number	89.43642743412907
weight	78.78600492839382
zika infections	68.57244973043775
women	48.11044699602063
man	44.02862358008421
tuesday	42.84573974715224
haze	41.982948147354605
monkey	40.06806375259505
grandson	39.37121307569606
tally	39.009709321570945
channel news asia	37.75758773200515
million	35.74611720493193
johor orchard	33.868452245304034
channel newsasia	33.290133341913204
dtn singapore	32.27272569720911
people	30.852205649762723
days	29.759662758496574
news	29.627662125838228
oct	29.120643833107973
moh	28.74050154283038
time	27.879197793269768
sale	26.711272082760498
fan	26.661797445785876
sept	26.658884609022035
k-pop superstars	25.44132593830687
year	24.811653414916318
johor	24.131855046447782
zika symptoms	23.48268166191088
virus	22.48069616537328
kyrgyzstan	22.275270313382325
terrorism	22.070424513339187
countries	21.502375291469047
china	20.87451173616677
apple	20.87031906052073
state	20.706857187067502
myanmar	20.413264134746584
talks	20.373767044483596
un chief	20.045309829870792
dlvr	19.913950775646704
tuesday  aug	19.62263186284744
lanterns	19.38958057998435
indonesia fires	19.15239741095695
risk	18.91871397818264
percent	18.72145652219005
rohingya citizens	18.587637933225192
chinatown	18.555623399099684
south korea	18.1321814571485
asia	17.65240863041289
entry	17.480880453800474
mid-autumn festival	17.438456166765047
zika cases	17.237038728094966
day	17.178898584090103
vietnam	17.076016487054922
access	16.599334510058068
attack	16.33476510553877
travel warnings	16.230416224338626
temperature	16.172602692217612
episode	15.594189530090645
malaysia	15.579577312247565
years	15.064326289353968
eu	14.990231814083627
embassy	14.989648431240479
episode sub	14.979019237266488
cna	14.716673315377156
august	14.047507566592458
channelnewsasia	14.047032988737188
hotel	13.944023695353016
deafness	13.724642955291875
work	13.575278427580026
case	13.557532853718595
monday	13.549753731101909
gas attacks	13.472625508889006
symptoms	13.27932364482171
suicide blast	13.244795450844636
area	13.055900669754694
philippines	12.843954730615389
pakistan	12.752725009513918
children	12.749100245502166
loan	12.747043529884575
doctor	12.699818955588437
guilty	12.632241298200844
authorities	12.504292095850522
zika virus	12.486163127725614
ministry	12.479051699865131
england	12.191324464546527
macpherson residents	12.149108708397211
unity	11.976788726773727
country	11.87316937687159
banks	11.865068226924953
success	11.824881958935984
wall street	11.7858739412087
syria	11.759768706646112
week	11.471466208486332
diseases	11.288957196575456
twitter	11.239028266326295
business	11.221867573037946
