Trending Topic	Trending Topic Score
weight	256.66075065624636
singapore	144.2490675042754
haze	95.3269210631148
zika	94.93510562017251
cases	79.27890451419138
indonesian police	59.209750849430336
hectares	59.16338502194459
marijuana fields	53.96655236231932
hillside	53.96115570708309
aceh ht	53.88707659014121
sense	53.2046612949828
sentence	49.98192336514081
moh	49.87658539516164
reindeer	42.871571871911385
norway	42.763305926061584
sims	35.759390264883486
channel newsasia	34.88875805147486
time	33.09042594919486
people	30.89775063873795
spore	29.87127551942655
symptoms	28.074704440474513
dtn singapore	27.748738880005206
minister	26.499454944640977
area ht	26.409613302044797
death	26.18164454123212
year	25.519148163060184
lightning strike	25.24030071734606
virus	24.115344066394105
bus fares	24.004988371883357
week	23.64638072749918
nissan gt-r	23.18487130298686
indonesia	22.843245110134674
conditions	22.336606694398068
news	22.26416174176587
china	22.07039746842867
zika cases	21.859029284570664
apple	21.457815064414707
terms	21.22573619443715
problems	21.22441878487183
toyota	21.19610045574022
issues	21.160677606084462
rights	21.138359911967438
pdfs	21.089718563697165
log-in	21.055528206448525
subscriber log-ins	21.04644112253841
inconvenience	21.035478815791176
regn	21.01231043014156
subscribers	20.95003278311217
apologise	20.90799584754163
sg bout	20.737199465416875
woodlands	20.220789706698508
data protection policywe	20.142891048741607
billion	19.304476798401858
life	19.302988217183636
stadium road	18.852929257996305
years	18.62687406780982
zika outbreak	18.487740723479877
monday  aug	18.35744631015827
ministry	18.26565695709696
access st digital articles	18.099343853135746
visit	17.930315879030694
case	17.636123294041024
fault	17.628340695687825
women	17.467297428575716
dlvr	17.452866366559466
bid	17.045364753983666
percent	16.61402279531196
ties	16.489753622454874
state	16.22316844127714
dollar	16.031950437828787
iphone touchscreens	15.812486153634755
part	15.650251615491452
lightning	15.524114749194865
mosquitoes	15.125368135246555
hours	15.039087904923218
vietnam president	14.958757236269602
construction site	14.423566680384523
cna	14.23374223008914
line	14.17269113065388
area	14.11608445260062
president	13.981434449375865
day	13.837846502379417
ye	13.712526732717997
chance	13.438096813825895
ong	13.426731566998916
malaysia	13.27172067506727
duterte	13.271318441498522
fight	13.128541375144053
talking	13.058069699613368
guilty	12.903514419945257
support	12.880129278833778
asia	12.858904162536726
work	12.595506663385423
june	12.561740630152423
southeast asia	12.490910522150857
police	12.184960653313388
train service	12.135034490042889
eu	11.944701594459135
number	11.919026019946795
oil	11.873481042245642
