Trending Topic	Trending Topic Score
rights	12.794589532494934
time	12.499410795490858
year	12.387310573518812
pdfs	12.09469220914755
problems	12.066362734140386
inconvenience	12.0642294434546
log-in	12.038504142321505
subscriber log-ins	12.033397437754406
subscribers	12.005267830517784
regn	11.999183147087956
terms	11.9922328669538
issues	11.985038247761155
conditions	11.976306339268927
people	11.967854397414776
apologise	11.941405658330307
data protection policywe	11.255204116101977
access st digital articles	11.199138883250278
years	10.704994685354077
singapore	8.508355147427036
work	8.341158604665237
world	8.156954941791714
book	6.809951080005512
home	6.178484628743123
life	6.042902297406305
month	5.468733380948408
piece	5.356624155902878
experience	5.319369358421867
thing	5.181592711211711
music	5.172487582945331
ingredients	5.0162222171482105
public	4.963402117633515
child	4.936601267163793
audience	4.846544660094631
star	4.578287067552553
art	4.5617606098383545
day	4.387564084254533
hours	4.380965789667208
times	4.270521403053613
oct	4.196554972067555
united states	4.178192078094699
age	4.146609557213489
books	4.106674447234729
company	4.048882430497105
leave	4.033706683612423
comfortable	3.713485360143363
