Trending Topic	Trending Topic Score
r nathan	110.79481902206025
man	70.52131385851625
singapore	66.95866513944233
parliament house	64.12739121416254
rememberingsrnathan	55.989079467331145
gun carriage	54.83582714626969
singaporeans	54.27495277408402
range	51.959650488607615
people	48.02290547108089
channel newsasia	45.760608436538554
psi	45.63278690479041
mr nathan	44.20830351578939
phone	41.23288494507681
indonesia	38.93885664331826
sir	38.54048342305061
president s r nathan	35.45515071682342
shout	34.55326013939581
flags	34.546366800090546
time	33.42829574269474
toilet	29.751291088541343
billion	29.24897755896115
dtn singapore	29.199280638495832
service	29.03004678001531
yellen	27.955079453439488
president	27.38583263868309
state funeral	27.317373060626814
singapore bids farewell	26.811728006939603
years	26.029315836529666
friday	25.039167045400223
parts	24.974564991219058
malaysia	24.678248455289076
burkini ban	24.311867634844187
french court	23.991380534892997
pm lee	23.681888172941587
haze	23.458143223532982
year	22.370233931772564
dlvr	21.922950250830088
china	21.665941946589847
digital economy	20.985245925252215
japan	20.89191492717871
cortege	20.75243019931115
woman	20.66749558293458
look	20.637006365056987
west	20.60692368142001
sghaze	20.182696423494036
case	19.84301139713438
send-off	19.413891255824325
procession	19.26822315847015
life	19.15970443149999
s r nathan president	19.117558644515572
casket	19.10931553810306
friday  aug	18.911137688616215
family	18.901613512870917
world	17.969959719826722
skies	17.902212242797948
tribute	17.83834477165819
respects	17.52957235731096
mr s r nathan	17.39372703822024
news	17.16129351683704
friends	17.07754253317084
country	16.632971424243344
government	16.51135176867371
tsunami cloud formation	16.464631475865243
state flag	16.439139942956746
ucc	16.416525677500122
deal	16.255851526221708
risk	16.193479079653233
tsunami	16.04811368408935
wall street	16.047921238236032
s r nathan	16.04001566537642
south	15.987340758495513
lawsuits	15.703800925648675
day	14.73880455555964
minister	14.70310469271214
caesars	14.671705940549064
children	14.640998555883806
july	14.592244049196871
firefighters	14.580848576749549
asia	14.364054749037017
hong kong	14.345912668234284
months	14.011397856999634
concerns	13.992376785160367
sons	13.975370861431376
state service	13.846829120791055
indonesia sghaze	13.730025506112948
riau fires	13.728652503562337
number	13.720771407332494
role	13.713156888121688
women	13.260654499313413
lead	12.929485953685916
hours	12.523775936229898
caribbean	12.508986258993783
chan chun	12.441364912535345
s r nathan funeral	12.433933966122586
actions	12.433831842968353
city hall	12.291031253262664
mark	12.23313251620858
countries	12.231958688704182
state funeral procession	12.225659966536558
million	12.099055045691847
